case_number	case_name	n_sequences	n_changes	group_name	gt_candidates	test_status	initial_region_span	gap_history	best_candidates	direction_L1	rank_L1_L2	bc_breakpoints_target	gt_breakpoints_target	p_value_vs_L1	p_value_vs_L2	alternative_candidates
2	OR499958.1	92	64	B.1.20.NmC1	N/A	N/A	1-59,60-64		B.1.20.NmC1 + B.1.11.NmC2	>>	N/A	59-60	N/A	1.08e-09	8.88e-129	[], []
2	OR500003.1	92	64	B.1.20.NmC1	N/A	N/A	1-59,60-64		B.1.20.NmC1 + B.1.11.NmC2	>>	N/A	59-60	N/A	1.09e-09	7.50e-122	[], []
2	PP507076.1	92	62	B.1.20.NmC1	N/A	N/A	1-3,4-62		B.1.6 + B.1.20.NmC1	<<	N/A	3-4	N/A	4.77e-59	4.82e-09	[], []
2	PV962901.1	92	83	B.1.20.NmC1	N/A	N/A	1-78,79-83		F.2 + F.5	>>	N/A	78-79	N/A	1.98e-02	1.01e-121	[], []
3	OP019276.1	35	55	B.1.1.NmC1	N/A	N/A	1-40,41-55		B.1.NmC8 + B.1.7	>>	N/A	40-41	N/A	1.15e-11	2.31e-26	[], []
4	OR353567.1	132	64	B.1.2	N/A	N/A	1-46,48-64	46-48	B.1.17.NmC6 + B.1.2.NmC3	>>	N/A	47-48	N/A	8.19e-28	2.28e-38	[], []
5	PV984907.1	37	63	B.1.3.NmC2	N/A	N/A	1-60,61-63		B.1.3.NmC2 + C.1.NmC2	>>	N/A	60-61	N/A	2.60e+00	3.34e-62	[], []
5	OP605562.1	37	57	B.1.3.NmC2	N/A	N/A	1-54,55-57		B.1.3.NmC2 + C.1.NmC2	>>	N/A	54-55	N/A	2.60e+00	1.07e-40	[], []
5	PV984894.1	37	60	B.1.3.NmC2	N/A	N/A	1-57,58-60		B.1.3.NmC2 + C.1.NmC2	>>	N/A	57-58	N/A	2.61e+00	7.55e-41	[], []
5	PV984900.1	37	62	B.1.3.NmC2	N/A	N/A	1-59,60-62		B.1.3.NmC2 + C.1.NmC2	>>	N/A	59-60	N/A	2.61e+00	1.10e-55	[], []
8	OR381836.1	69	52	E.2	N/A	N/A	1-8,9-52		B.1.17.NmC1 + E.2	<<	N/A	8-9	N/A	1.22e-70	1.73e-03	[], []
12	PQ249164.1	41	80	F.2.NmC1	N/A	N/A	1-24,25-40,41-80	24-41 -> 	F.2.NmC1 + B.1.NmC9 + F.2.NmC1	<<	N/A	24-25, 40-41	N/A	4.63e-36	2.91e-154	[], []
12	PQ249165.1	41	82	F.2.NmC1	N/A	N/A	1-24,25-40,41-82	24-41 -> 	F.2.NmC1 + B.1.NmC9 + F.2.NmC1	<<	N/A	24-25, 40-41	N/A	4.66e-36	3.95e-158	[], []
19	ON694336.1	263	60	B.1.NmC3	N/A	N/A	1-54,55-60		B.1.NmC3 + B.1.8.NmC2	>>	N/A	54-55	N/A	9.95e-03	1.55e-97	[], []
19	OP689678.1	263	61	B.1.NmC3	N/A	N/A	1-55,56-61		B.1.NmC3 + B.1.8.NmC2	>>	N/A	55-56	N/A	9.90e-03	8.41e-104	[], []
19	OP689680.1	263	61	B.1.NmC3	N/A	N/A	1-54,55-61		B.1.NmC3 + B.1.NmC10	>>	N/A	54-55	N/A	1.45e-02	2.54e-12	[], []
19	OP715816.1	263	60	B.1.NmC3	N/A	N/A	1-54,55-60		B.1.NmC3 + B.1.8.NmC2	>>	N/A	54-55	N/A	9.95e-03	1.55e-97	[], []
19	OP764619.1	263	62	B.1.NmC3	N/A	N/A	1-56,57-62		B.1.NmC3 + B.1.8.NmC2	>>	N/A	56-57	N/A	9.90e-03	1.14e-110	[], []
19	OP764623.1	263	63	B.1.NmC3	N/A	N/A	1-57,58-63		B.1.NmC3 + B.1.8.NmC2	>>	N/A	57-58	N/A	9.95e-03	6.19e-117	[], []
19	OP837334.1	263	63	B.1.NmC3	N/A	N/A	1-57,58-63		B.1.NmC3 + B.1.8.NmC2	>>	N/A	57-58	N/A	9.90e-03	6.86e-118	[], []
19	OP837349.1	263	61	B.1.NmC3	N/A	N/A	1-54,55-61		B.1.NmC3 + B.1.14	>>	N/A	54-55	N/A	6.91e-03	1.23e-06	[], []
19	OP018590.1	263	61	B.1.NmC3	N/A	N/A	1-54,55-61		B.1.NmC3 + B.1.14	>>	N/A	54-55	N/A	6.91e-03	1.23e-06	[], []
19	OP215221.1	263	68	B.1.NmC3	N/A	N/A	1-61,62-68		B.1.NmC3 + B.1.14	>>	N/A	61-62	N/A	6.91e-03	1.70e-50	[], []
19	OP536753.1	263	59	B.1.NmC3	N/A	N/A	1-40,45-59	40-45	B.1.NmC9 + B.1.NmC3	>>	N/A	40-41	N/A	1.29e-57	1.62e-02	[], []
19	OP764629.1	263	61	B.1.NmC3	N/A	N/A	1-55,56-61		B.1.NmC3 + B.1.8.NmC2	>>	N/A	55-56	N/A	9.90e-03	2.80e-104	[], []
21	OP819951.1	26	63	B.1.16	N/A	N/A	1-8,9-63		B.1.2.NmC3 + B.1.16	<<	N/A	8-9	N/A	1.26e-75	3.28e-09	[], []
22	OP580155.1	63	34	A.1.NmC3	N/A	N/A	1-29,30-34		B.1.2 + A.1.NmC3	<<	N/A	29-30	N/A	2.15e-10	1.44e+76	[], []
22	OP605565.1	63	38	A.1.NmC3	N/A	N/A	1-34,35-38		B.1.2.NmC6 + A.1.NmC3	>>	N/A	34-35	N/A	1.49e-10	4.16e+69	[], []
22	OP615275.1	63	28	A.1.NmC3	N/A	N/A	1-7,8-28		B.1.NmC10 + B.1.17	<<	N/A	7-8	N/A	1.00e-55	1.01e-04	[], []
22	OP440553.1	63	25	A.1.NmC3	N/A	N/A	1-16,20-25	16-20	A.1.NmC3 + B.1.2.NmC4	<<	N/A	19-20	N/A	1.66e-02	1.59e-70	[], []
22	OP215261.1	63	42	A.1.NmC3	N/A	N/A	1-24,25-42		B.1.NmC3 + A.1.NmC3	<<	N/A	24-25	N/A	1.24e-30	3.16e+70	[], []
22	OQ644779.1	63	31	A.1.NmC3	N/A	N/A	1-25,26-31		B.1 + B.1.2.NmC4	<<	N/A	25-26	N/A	1.44e-04	2.28e-85	[], []
22	OQ503800.1	63	37	A.1.NmC3	N/A	N/A	1-7,8-37		B.1.17.NmC1 + A.1.NmC3	<<	N/A	7-8	N/A	4.67e-95	8.59e-08	[], []
22	OR499952.1	63	26	A.1.NmC3	N/A	N/A	1-21,22-26		A.1.NmC3 + F.5	<<	N/A	21-22	N/A	3.75e-01	1.51e-123	[], []
22	OR499954.1	63	26	A.1.NmC3	N/A	N/A	1-21,22-26		A.1.NmC3 + F.5	<<	N/A	21-22	N/A	3.75e-01	1.51e-123	[], []
22	OR499957.1	63	27	A.1.NmC3	N/A	N/A	1-18,23-27	18-23	A.1.NmC3 + F.5	<<	N/A	22-23	N/A	3.75e-01	1.04e-122	[], []
22	OR473622.1	63	26	A.1.NmC3	N/A	N/A	1-20,21-26		A.1.NmC3 + F.3	<<	N/A	20-21	N/A	7.52e-03	2.50e-124	[], []
22	OR643700.1	63	32	A.1.NmC3	N/A	N/A	1-12,13-32		A.1.NmC3 + B.1.21	<<	N/A	12-13	N/A	1.19e+02	1.06e-122	[], []
22	PQ160015.1	63	44	A.1.NmC3	N/A	N/A	1-7,8-44		B.1.NmC10 + B.1.21	<<	N/A	7-8	N/A	3.52e-44	1.87e-35	[], []
22	PQ160017.1	63	45	A.1.NmC3	N/A	N/A	1-7,10-45	7-10	B.1.NmC10 + B.1.20.NmC1	<<	N/A	7-8	N/A	8.77e-43	2.49e-11	[], []
22	PP338788.1	63	43	A.1.NmC3	N/A	N/A	1-13,14-43		A.1.NmC3 + F.2	<<	N/A	13-14	N/A	1.15e-06	1.06e-130	[], []
22	PP338786.1	63	26	A.1.NmC3	N/A	N/A	1-17,22-26	17-22	A.1.NmC3 + F.5	<<	N/A	21-22	N/A	3.75e-01	3.79e-123	[], []
22	PQ583327.1	63	35	A.1.NmC3	N/A	N/A	1-12,14-35	12-14	B.1.17.NmC2 + F.4	<<	N/A	12-13	N/A	3.40e+47	1.22e-02	[], []
23	OP225965.1	402	65	B.1.13.NmC1	N/A	N/A	1-45,46-60,61-65	45-61 -> 	B.1.7.NmC1 + B.1.13.NmC1 + B.1.7.NmC1	>>	N/A	45-46, 60-61	N/A	5.06e-12	5.59e-14	[], []
23	OP225967.1	402	65	B.1.13.NmC1	N/A	N/A	1-45,46-60,61-65	45-61 -> 	B.1.7.NmC1 + B.1.13.NmC1 + B.1.7.NmC1	>>	N/A	45-46, 60-61	N/A	5.06e-12	5.59e-14	[], []
23	OP205072.1	402	67	B.1.13.NmC1	N/A	N/A	1-64,65-67		B.1.13.NmC1 + B.1.17.NmC6	>>	N/A	64-65	N/A	8.52e-01	4.86e-76	[], []
23	OP205080.1	402	67	B.1.13.NmC1	N/A	N/A	1-64,65-67		B.1.13.NmC1 + B.1.17.NmC6	>>	N/A	64-65	N/A	8.52e-01	4.86e-76	[], []
23	OP205087.1	402	66	B.1.13.NmC1	N/A	N/A	1-63,64-66		B.1.13.NmC1 + B.1.17.NmC6	>>	N/A	63-64	N/A	8.56e-01	6.96e-58	[], []
23	OP205089.1	402	70	B.1.13.NmC1	N/A	N/A	1-67,68-70		B.1.13.NmC1 + B.1.17.NmC6	>>	N/A	67-68	N/A	8.56e-01	5.35e-88	[], []
23	OP205112.1	402	66	B.1.13.NmC1	N/A	N/A	1-63,64-66		B.1.13.NmC1 + B.1.17.NmC6	>>	N/A	63-64	N/A	8.56e-01	1.88e-67	[], []
23	OR264413.1	402	66	B.1.13.NmC1	N/A	N/A	1-61,62-66		B.1.13.NmC1 + B.1.17.NmC6	>>	N/A	61-62	N/A	1.87e-09	1.77e-67	[], []
