genomeIDs	original_lineage	recombinant_parents	breakpoint_count	case_report_folder
	XCJ	XBB.1.5 + GM.3	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_1_XCJ_Unknown_ID
	XG	BA.1.17 + BA.2.7	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_2_XG_Unknown_ID
	XM	BA.1.1.6 + BA.2.27	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_3_XM_Unknown_ID
	XCV	EG.5.1 + XBB.1.16.11	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_6_XCV_Unknown_ID
	XCL	XBB.1.5.68 + GK.2.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_7_XCL_Unknown_ID
	XD	AY.4 + BA.1.19 + AY.4	2BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_8_XD_Unknown_ID
	XS	AY.126 + BA.1.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_9_XS_Unknown_ID
	XAM	BA.1.1.9 + BA.2.9	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_10_XAM_Unknown_ID
	XFP	XFJ.3 + JN.1.7.5	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_11_XFP_Unknown_ID
	XAF	BA.1.1.9 + BA.2.9	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_12_XAF_Unknown_ID
	XF	AY.4.2 + BA.1.16	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_14_XF_Unknown_ID
	XDK	XDK.5 + JN.1.1.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_16_XDK_Unknown_ID
	XDH	BN.1.2.3 + XBB.1.9.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_17_XDH_Unknown_ID
	XAP	BA.2 + BA.1.23	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_18_XAP_Unknown_ID
	XAL	BA.1.1 + BA.2	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_20_XAL_Unknown_ID
	XAG	BA.1.1.14 + BA.2.9	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_21_XAG_Unknown_ID
	XCQ	XBB.2.3.15 + HA.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_22_XCQ_Unknown_ID
	XL	BA.1.17.2 + BA.2	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_23_XL_Unknown_ID
	XBG	BA.2.76 + BA.5.2	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_24_XBG_Unknown_ID
	XBT	BA.5.2.34 + BN.1 + BA.5.2.34	2BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_26_XBT_Unknown_ID
	XAZ	CH.1.1.32 + BA.5	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_28_XAZ_Unknown_ID
	XCU	XBB.1.5 + XBC.1 + XBB.1.5	2BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_29_XCU_Unknown_ID
	XBH	BA.2.75.2 + BA.2.3.17 + BA.2.75.2	2BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_30_XBH_Unknown_ID
	XCA	BA.2.75.2 + BQ.1.1.18	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_33_XCA_Unknown_ID
	XBE	BA.5.2.6 + CQ.2	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_34_XBE_Unknown_ID
	XCS	GK.1 + XBB.1.16.25	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_35_XCS_Unknown_ID
	XAA	BA.1.20 + BA.2	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_36_XAA_Unknown_ID
	XEB	EG.1.2 + XDP.3	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_37_XEB_Unknown_ID
	XV	BA.1.14 + BA.2.52	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_38_XV_Unknown_ID
	XCZ	HK.1 + GK.1.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_39_XCZ_Unknown_ID
	XDF	EG.10.1 + EG.5.1.3	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_41_XDF_Unknown_ID
	XAS	BA.4.8 + BA.2.65	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_44_XAS_Unknown_ID
	XDN	JN.1 + JD.1.1.8	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_47_XDN_Unknown_ID
	XAK	BA.2 + BA.2.10	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_48_XAK_Unknown_ID
	XW	BA.1.1.9 + BA.2.23	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_49_XW_Unknown_ID
	XBN	BA.2.75.5 + XBB.3	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_50_XBN_Unknown_ID
	XES	KP.2.3.15 + MR.2	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_52_XES_Unknown_ID
	XCP	HK.3 + JD.1.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_53_XCP_Unknown_ID
	XAU	BA.1.1.9 + BA.2.9	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_54_XAU_Unknown_ID
	XBV	CR.1 + XBB.1.5	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_56_XBV_Unknown_ID
	XCM	XBB.2.3.13 + DV.7.1.2	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_57_XCM_Unknown_ID
	XEG	BA.2.86.1 + GJ.1.2 + BA.2.86.1	2BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_59_XEG_Unknown_ID
	XBD	BA.2.75.2 + BF.23	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_61_XBD_Unknown_ID
	XCK	HN.4 + JH.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_64_XCK_Unknown_ID
	XQ	BA.1.1.9 + BA.2.5	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_65_XQ_Unknown_ID
	XDL	HK.3 + FL.21.2	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_66_XDL_Unknown_ID
	XAB	BA.1.1.9 + BA.2	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_67_XAB_Unknown_ID
	XH	BA.1 + BA.2.9	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_68_XH_Unknown_ID
	XBM	BA.2.76 + BF.3	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_69_XBM_Unknown_ID
	XA	B.1.177.18 + B.1.1.7	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_73_XA_Unknown_ID
	XU	BA.1.7 + BA.2.37	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_75_XU_Unknown_ID
	XBU	BA.2.75.2 + DP.1 + BA.2.75.2	2BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_76_XBU_Unknown_ID
	XBZ	BA.5.2.10 + EF.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_77_XBZ_Unknown_ID
	XCC	CH.1.1.1 + FL.27	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_79_XCC_Unknown_ID
	XDG	XBB.1.5.7 + EG.5.2.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_80_XDG_Unknown_ID
	XCE	BQ.1.1.16 + FY.1	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_82_XCE_Unknown_ID
	XDC	EG.5.1.1 + GY.9	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_83_XDC_Unknown_ID
	XCY	GK.4 + JG.4 + GK.4	2BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_84_XCY_Unknown_ID
	XR	BA.1.1.9 + BA.2	1BP	results/recombinhunt_output/sars-cov-2/dist0size0/consensus/structured_reports/case_85_XR_Unknown_ID
