case_number	case_name	n_sequences	n_changes	group_name	gt_candidates	test_status	initial_region_span	gap_history	best_candidates	direction_L1	rank_L1_L2	bc_breakpoints_target	gt_breakpoints_target	p_value_vs_L1	p_value_vs_L2	alternative_candidates
1	PP431249.1	83	42	A.1.NmC2	N/A	N/A	1-28,29-37,38-42	28-38 -> 	A.1.NmC2 + A.1 + A.1.NmC2	>>	N/A	28-29, 37-38	N/A	3.55e-03	2.28e-26	[], []
2	MT377503.1	181	155	A.1.NmC1	N/A	N/A	1-9,10-46,129-155	9-129 -> 46-129	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	9-10, 102-103	N/A	2.96e-41	4.67e-33	[], []
2	KY241700.1	181	136	A.1.NmC1	N/A	N/A	1-41,42-87,88-136	41-88 -> 	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	41-42, 87-88	N/A	2.64e-28	1.55e-119	[], []
2	KY241712.1	181	141	A.1.NmC1	N/A	N/A	1-15,66-141	15-66	A.1 + A.1.NmC1	<<	N/A	21-22	N/A	2.09e-104	1.55e-06	[], []
2	PP626402.1	181	108	A.1.NmC1	N/A	N/A	1-99,100-104,105-108	99-105 -> 	A.1.NmC1 + A.1 + A.1.NmC1	>>	N/A	99-100, 104-105	N/A	1.16e-06	1.83e-101	[], []
2	MT377491.2	181	107	A.1.NmC1	N/A	N/A	1-98,99-103,104-107	98-104 -> 	A.1.NmC1 + A.1 + A.1.NmC1	>>	N/A	98-99, 103-104	N/A	1.16e-06	4.91e-95	[], []
2	MG807647.1	181	109	A.1.NmC1	N/A	N/A	1-100,101-102,106-109	100-106 -> 102-106	A.1.NmC1 + A.1 + A.1.NmC1	>>	N/A	100-101, 105-106	N/A	3.35e-05	1.39e-44	[], []
3	OQ661914.1	995	194	A.1	N/A	N/A	1-6,25-194	6-25	A.1 + A.1	<<	N/A	13-14	N/A	2.72e+00	2.72e+00	[], []
3	KU681082.3	995	240	A.1	N/A	N/A	1-79,126-240	79-126	A.1 + A.1	<<	N/A	119-120	N/A	2.72e+00	2.72e+00	[], []
3	KX694532.2	995	137	A.1	N/A	N/A	1-5,134-137	5-134	A.1 + A.1.NmC1	<<	N/A	131-132	N/A	1.49e+09	2.12e-262	[], []
3	KF993678.1	995	132	A.1	N/A	N/A	1-5,124-132	5-124	A.1 + A.1	<<	N/A	122-123	N/A	2.72e+00	2.72e+00	[], []
3	KX051560.1	995	129	A.1	N/A	N/A	1-4,127-129	4-127	A.1 + A.1.NmC1	<<	N/A	125-126	N/A	3.53e+07	0.00e+00	[], []
3	OQ661915.1	995	193	A.1	N/A	N/A	1-6,25-193	6-25	A.1 + A.1	<<	N/A	13-14	N/A	2.72e+00	2.72e+00	[], []
3	KX051561.1	995	137	A.1	N/A	N/A	1-3,134-137	3-134	A.1 + A.1.NmC1	<<	N/A	131-132	N/A	9.41e+13	3.67e-261	[], []
3	PP115590.1	995	114	A.1	N/A	N/A	1-3,110-114	3-110	A.1 + A.1.NmC1	>>	N/A	108-109	N/A	6.29e+12	5.07e-297	[], []
3	KU681081.3	995	110	A.1	N/A	N/A	1-3,107-110	3-107	A.1 + A.1.NmC1	<<	N/A	105-106	N/A	1.29e+07	5.31e-278	[], []
3	KX051562.1	995	144	A.1	N/A	N/A	1-4,141-144	4-141	A.1 + A.1.NmC1	<<	N/A	137-138	N/A	4.28e+12	1.19e-104	[], []
3	KY558996.1	995	32	A.1	N/A	N/A	1-7,8-9,26-32	7-26 -> 9-26	A.1 + A.1.NmC2 + A.1	<<	N/A	7-8, 9-10	N/A	6.86e-02	2.35e-58	[], []
3	MF352141.1	995	33	A.1	N/A	N/A	1-3,18-33	3-18	A.1 + A.1	<<	N/A	17-18	N/A	2.72e+00	2.72e+00	[], []
3	OQ727568.1	995	33	A.1	N/A	N/A	1-4,17-33	4-17	A.1 + A.1	<<	N/A	10-11	N/A	2.72e+00	2.72e+00	[], []
3	KU707826.1	995	37	A.1	N/A	N/A	1-31,35-37	31-35	A.1 + A.1	>>	N/A	31-32	N/A	2.72e+00	2.72e+00	[], []
3	KU497555.1	995	43	A.1	N/A	N/A	1-7,33-43	7-33	A.1 + A.1	<<	N/A	18-19	N/A	2.72e+00	2.72e+00	[], []
3	KX446950.2	995	45	A.1	N/A	N/A	1-4,10-45	4-10	A.1 + A.1	<<	N/A	5-6	N/A	2.72e+00	2.72e+00	[], []
3	KY559032.1	995	29	A.1	N/A	N/A	1-6,18-29	6-18	A.1 + A.1	<<	N/A	6-7	N/A	2.72e+00	2.72e+00	[], []
3	KY648934.1	995	46	A.1	N/A	N/A	1-9,17-46	9-17	A.1 + A.1	<<	N/A	9-10	N/A	2.72e+00	2.72e+00	[], []
3	MN473454.1	995	55	A.1	N/A	N/A	1-4,31-55	4-31	A.1.NmC2 + A.1	<<	N/A	6-7	N/A	2.60e-146	1.92e+12	[], []
3	PP470595.1	995	39	A.1	N/A	N/A	1-5,6-7,37-39	5-37 -> 7-37	A.1.NmC2 + A.1 + A.1.NmC2	>>	N/A	5-6, 34-35	N/A	3.45e-38	7.34e-07	[], []
3	PP626401.1	995	163	A.1	N/A	N/A	1-6,98-163	6-98	A.1 + A.1	<<	N/A	28-29	N/A	2.72e+00	2.72e+00	[], []
3	MT636065.1	995	47	A.1	N/A	N/A	1-31,45-47	31-45	A.1 + A.1.NmC1	>>	N/A	44-45	N/A	5.21e+00	4.30e-183	[], []
3	KY317937.1	995	41	A.1	N/A	N/A	1-21,31-38,39-41	21-39 -> 21-31	A.1.NmC2 + A.1 + A.1.NmC2	>>	N/A	21-22, 38-39	N/A	6.62e-56	4.06e-12	[], []
3	PQ129534.1	995	43	A.1	N/A	N/A	1-4,10-43	4-10	A.1 + A.1	<<	N/A	5-6	N/A	2.72e+00	2.72e+00	[], []
3	OK054444.1	995	51	A.1	N/A	N/A	1-6,9-51	6-9	A.1 + A.1	<<	N/A	8-9	N/A	2.72e+00	2.72e+00	[], []
3	KY272991.1	995	39	A.1	N/A	N/A	1-27,33-39	27-33	A.1 + A.1	>>	N/A	27-28	N/A	2.72e+00	2.72e+00	[], []
3	MF801385.1	995	40	A.1	N/A	N/A	1-4,8-40	4-8	A.1 + A.1	<<	N/A	7-8	N/A	2.72e+00	2.72e+00	[], []
3	KY559027.1	995	34	A.1	N/A	N/A	1-3,27-34	3-27	A.1 + A.1	<<	N/A	4-5	N/A	2.72e+00	2.72e+00	[], []
3	KX013000.1	995	54	A.1	N/A	N/A	1-37,49-54	37-49	A.1 + A.1	>>	N/A	48-49	N/A	2.72e+00	2.72e+00	[], []
3	KX117076.1	995	53	A.1	N/A	N/A	1-36,48-53	36-48	A.1 + A.1	>>	N/A	47-48	N/A	2.72e+00	2.72e+00	[], []
3	KU922923.1	995	44	A.1	N/A	N/A	1-5,34-40,41-44	5-41 -> 5-34	A.1.NmC2 + A.1 + A.1.NmC2	>>	N/A	9-10, 40-41	N/A	2.43e-57	1.44e-03	[], []
3	KU922960.1	995	43	A.1	N/A	N/A	1-8,33-39,40-43	8-40 -> 8-33	A.1.NmC2 + A.1 + A.1.NmC2	>>	N/A	8-9, 39-40	N/A	2.43e-57	2.94e-09	[], []
3	KU955590.1	995	49	A.1	N/A	N/A	1-42,43-45,47-49	42-47 -> 45-47	A.1 + A.1.NmC2 + A.1	>>	N/A	42-43, 45-46	N/A	4.70e-01	7.77e-184	[], []
3	MF167360.1	995	50	A.1	N/A	N/A	1-43,44-46,48-50	43-48 -> 46-48	A.1 + A.1.NmC2 + A.1	>>	N/A	43-44, 46-47	N/A	4.70e-01	3.25e-191	[], []
3	KY379148.1	995	50	A.1	N/A	N/A	1-43,44-46,48-50	43-48 -> 46-48	A.1 + A.1.NmC2 + A.1	>>	N/A	43-44, 46-47	N/A	4.70e-01	1.24e-191	[], []
3	PP431236.1	995	29	A.1	N/A	N/A	1-25,26-29		A.1 + A.1.NmC2	<<	N/A	25-26	N/A	2.63e-01	4.77e-65	[], []
3	KY120352.1	995	34	A.1	N/A	N/A	1-7,24-34	7-24	A.1 + A.1	<<	N/A	18-19	N/A	2.72e+00	2.72e+00	[], []
3	KY553111.1	995	243	A.1	N/A	N/A	1-9,32-243	9-32	A.1 + A.1	<<	N/A	18-19	N/A	2.72e+00	2.72e+00	[], []
3	PP431225.1	995	18	A.1	N/A	N/A	1-7,14-18	7-14	A.1.NmC2 + A.1	>>	N/A	12-13	N/A	2.87e-15	9.63e-02	[], []
3	MW915411.1	995	93	A.1	N/A	N/A	1-4,91-93	4-91	A.1 + A.1.NmC1	<<	N/A	90-91	N/A	1.81e+00	3.55e-289	[], []
3	PP431239.1	995	36	A.1	N/A	N/A	1-5,22-25,26-36	5-26 -> 5-22	A.1.NmC2 + A.1 + A.1.NmC2	>>	N/A	5-6, 25-26	N/A	7.75e-38	4.29e-10	[], []
3	MT439642.1	995	45	A.1	N/A	N/A	1-29,38-45	29-38	A.1 + A.1	>>	N/A	30-31	N/A	2.72e+00	2.72e+00	[], []
3	PP431229.1	995	39	A.1	N/A	N/A	1-3,4-5,35-39	3-35 -> 5-35	A.1.NmC2 + A.1 + A.1.NmC2	<<	N/A	3-4, 33-34	N/A	1.48e-23	2.94e-03	[], []
3	KY559009.1	995	36	A.1	N/A	N/A	1-4,20-36	4-20	A.1 + A.1	<<	N/A	6-7	N/A	2.72e+00	2.72e+00	[], []
3	LC191864.1	995	69	A.1	N/A	N/A	1-48,58-69	48-58	A.1 + A.1	>>	N/A	48-49	N/A	2.72e+00	2.72e+00	[], []
3	OL423654.1	995	35	A.1	N/A	N/A	1-23,28-35	23-28	A.1 + A.1	>>	N/A	25-26	N/A	2.72e+00	2.72e+00	[], []
3	MT377498.1	995	161	A.1	N/A	N/A	1-5,6-8,96-161	5-96 -> 8-96	A.1 + A.1.NmC1 + A.1	<<	N/A	5-6, 9-10	N/A	1.39e-02	0.00e+00	[], []
3	KY120353.1	995	238	A.1	N/A	N/A	1-9,32-238	9-32	A.1 + A.1	<<	N/A	31-32	N/A	2.72e+00	2.72e+00	[], []
3	PP431246.1	995	32	A.1	N/A	N/A	1-28,29-32		A.1 + A.1.NmC2	<<	N/A	28-29	N/A	2.63e-01	4.06e-91	[], []
3	KY785444.1	995	18	A.1	N/A	N/A	1-11,14-18	11-14	A.1 + A.1	>>	N/A	13-14	N/A	2.72e+00	2.72e+00	[], []
3	OL423650.1	995	49	A.1	N/A	N/A	1-11,14-49	11-14	A.1 + A.1	<<	N/A	12-13	N/A	2.72e+00	2.72e+00	[], []
3	PP431247.1	995	42	A.1	N/A	N/A	1-17,36-37,38-42	17-38 -> 17-36	A.1.NmC2 + A.1 + A.1.NmC2	>>	N/A	20-21, 37-38	N/A	7.34e-40	2.45e-07	[], []
3	KY014315.2	995	40	A.1	N/A	N/A	1-7,28-40	7-28	A.1 + A.1	<<	N/A	27-28	N/A	2.72e+00	2.72e+00	[], []
3	PP431233.1	995	41	A.1	N/A	N/A	1-3,35-36,37-41	3-37 -> 3-35	A.1.NmC2 + A.1 + A.1.NmC2	<<	N/A	3-4, 36-37	N/A	6.88e-36	6.46e-04	[], []
3	KY014314.2	995	46	A.1	N/A	N/A	1-17,23-46	17-23	A.1 + A.1	<<	N/A	19-20	N/A	2.72e+00	2.72e+00	[], []
3	MH368551.1	995	180	A.1	N/A	N/A	1-176,177-180		A.1 + A.1.NmC1	>>	N/A	176-177	N/A	6.96e-02	0.00e+00	[], []
3	MW122393.1	995	47	A.1	N/A	N/A	1-38,43-47	38-43	A.1 + A.1	>>	N/A	38-39	N/A	2.72e+00	2.72e+00	[], []
3	KY693678.1	995	49	A.1	N/A	N/A	1-8,46-49	8-46	A.1.NmC2 + A.1	>>	N/A	11-12	N/A	1.28e-87	3.46e+00	[], []
3	KY765317.1	995	49	A.1	N/A	N/A	1-7,10-49	7-10	A.1 + A.1	<<	N/A	9-10	N/A	2.72e+00	2.72e+00	[], []
3	KY765322.1	995	50	A.1	N/A	N/A	1-8,11-50	8-11	A.1 + A.1	<<	N/A	10-11	N/A	2.72e+00	2.72e+00	[], []
3	OK054473.1	995	50	A.1	N/A	N/A	1-6,9-50	6-9	A.1 + A.1	<<	N/A	8-9	N/A	2.72e+00	2.72e+00	[], []
3	MF801407.1	995	44	A.1	N/A	N/A	1-3,5-44	3-5	A.1.NmC1 + A.1	<<	N/A	3-4	N/A	6.42e-226	2.87e+04	[], []
3	KY606274.1	995	51	A.1	N/A	N/A	1-22,25-51	22-25	A.1 + A.1	<<	N/A	23-24	N/A	2.72e+00	2.72e+00	[], []
3	OK054396.1	995	50	A.1	N/A	N/A	1-6,9-50	6-9	A.1 + A.1	<<	N/A	8-9	N/A	2.72e+00	2.72e+00	[], []
3	PP431235.1	995	41	A.1	N/A	N/A	1-9,29-38,39-41	9-39 -> 9-29	A.1.NmC2 + A.1 + A.1.NmC2	>>	N/A	23-24, 38-39	N/A	1.51e-34	4.23e-07	[], []
3	MF801404.1	995	42	A.1	N/A	N/A	1-12,15-42	12-15	A.1 + A.1	<<	N/A	12-13	N/A	2.72e+00	2.72e+00	[], []
3	KY765318.1	995	49	A.1	N/A	N/A	1-7,10-49	7-10	A.1 + A.1	<<	N/A	9-10	N/A	2.72e+00	2.72e+00	[], []
3	KY765321.1	995	49	A.1	N/A	N/A	1-8,11-49	8-11	A.1 + A.1	<<	N/A	8-9	N/A	2.72e+00	2.72e+00	[], []
3	OK054469.1	995	49	A.1	N/A	N/A	1-7,10-49	7-10	A.1 + A.1	<<	N/A	9-10	N/A	2.72e+00	2.72e+00	[], []
3	KY693679.1	995	52	A.1	N/A	N/A	1-5,35-52	5-35	A.1.NmC2 + A.1	>>	N/A	8-9	N/A	1.13e-108	1.23e+00	[], []
3	OK054465.1	995	51	A.1	N/A	N/A	1-7,10-51	7-10	A.1 + A.1	<<	N/A	9-10	N/A	2.72e+00	2.72e+00	[], []
3	OK054399.1	995	46	A.1	N/A	N/A	1-6,9-46	6-9	A.1 + A.1	<<	N/A	6-7	N/A	2.72e+00	2.72e+00	[], []
3	OK054466.1	995	47	A.1	N/A	N/A	1-5,8-47	5-8	A.1 + A.1	<<	N/A	7-8	N/A	2.72e+00	2.72e+00	[], []
3	MW122387.1	995	51	A.1	N/A	N/A	1-44,47-51	44-47	A.1 + A.1	>>	N/A	45-46	N/A	2.72e+00	2.72e+00	[], []
3	OK054445.1	995	47	A.1	N/A	N/A	1-37,42-47	37-42	A.1 + A.1	>>	N/A	41-42	N/A	2.72e+00	2.72e+00	[], []
