genomeIDs	original_lineage	recombinant_parents	breakpoint_count	case_report_folder
PP_00194SS	A.2.1	A.2.1 + A.D.5.1 + A.2.1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_00194SS
PP_0019EAF	A.2.1	A.2.1 + A.D.5.1 + A.2.1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_0019EAF
PP_0019EBD	A.2.1	A.2.1 + A.D.5.1 + A.2.1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_0019EBD
PP_001BVWP	A.2.1	A.D.5.3 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001BVWP
PP_001BW63	A.2.1	A.D.3.1 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001BW63
PP_001BWDP	A.2.1	A.D.5.3 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001BWDP
PP_001CBSD	A.2.1	A.D.3.12 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001CBSD
PP_001CBV7	A.2.1	A.2.1 + A.D.3.7 + A.2.1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001CBV7
PP_001CC5M	A.2.1	A.D.3.3 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001CC5M
PP_001CCD5	A.2.1	A.D.3.1 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001CCD5
PP_001CCE3	A.2.1	A.D.5.3 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001CCE3
PP_001CCF1	A.2.1	A.2.1 + A.D.3.7 + A.2.1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001CCF1
PP_001CCJU	A.2.1	A.2.1 + A.D.1.5 + A.2.1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001CCJU
PP_001CMZP	A.2.1	A.D.3.3 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001CMZP
PP_001DHKK	A.2.1	A.2.1 + A.D.1.5 + A.2.1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001DHKK
PP_001DHND	A.2.1	A.D.5.1 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001DHND
PP_001DHVZ	A.2.1	A.D.5.3 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001DHVZ
PP_001DJ3H	A.2.1	A.D.3.1 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001DJ3H
PP_001DJ4F	A.2.1	A.D.3.1 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001DJ4F
PP_001DJ87	A.2.1	A.D.3.3 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001DJ87
PP_001DJ95	A.2.1	A.D.3.1 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001DJ95
PP_001DJEV	A.2.1	A.2.1 + A.D.3.4 + A.2.1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001DJEV
PP_001DJHN	A.2.1	A.D.3.1 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001DJHN
PP_001DJXU	A.2.1	A.D.5.3 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001DJXU
PP_001DK4E	A.2.1	A.D.3.3 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001DK4E
PP_001HS06	A.2.1	A.2.1 + A.D.3.4 + A.2.1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001HS06
PP_001HS14	A.2.1	A.2.1 + A.D.1.5 + A.2.1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001HS14
PP_001HS5W	A.2.1	A.2.1 + A.D.1.2 + A.2.1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001HS5W
PP_001HS6U	A.2.1	A.D.3.1 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001HS6U
PP_001HSJ3	A.2.1	A.D.3.12 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001HSJ3
PP_001HSMX	A.2.1	A.D.3.1 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001HSMX
PP_001HSNV	A.2.1	A.D.3.1 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001HSNV
PP_001HSSM	A.2.1	A.D.3.1 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001HSSM
PP_001NQF2	A.2.1	A.2.1 + A.D.5.1 + A.2.1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001NQF2
PP_001NQV7	A.2.1	A.D.5.3 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001NQV7
PP_001NR1V	A.2.1	A.2.1 + A.D.5.1 + A.2.1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001NR1V
PP_001UPMC	A.2.1	A.2.1 + A.D.5.1 + A.2.1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001UPMC
PP_001UPWU	A.2.1	A.2.1 + A.D.5.1 + A.2.1	2BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001UPWU
PP_001WPM8	A.2.1	A.D.5.3 + A.2.1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_2_A.2.1_PP_001WPM8
PP_001DKZP	A.D.3.NmC1	A.D.3.NmC1 + A.D.3	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_3_A.D.3.NmC1_PP_001DKZP
PP_001DL1K	A.D.3.NmC1	A.D.3.NmC1 + A.D.3	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_3_A.D.3.NmC1_PP_001DL1K
PP_001DL77	A.D.3.NmC1	A.D.3.NmC1 + A.D.3	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_3_A.D.3.NmC1_PP_001DL77
PP_001KTAF	A.D.3.NmC1	A.D.4.NmC1 + A.D.3	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_3_A.D.3.NmC1_PP_001KTAF
PP_001K3WY	A.D.3.NmC1	A.D.4.NmC2 + A.D.3	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_3_A.D.3.NmC1_PP_001K3WY
PP_001M947	A.D.3.NmC1	A.D.3.NmC1 + A.D.3.NmC2	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_3_A.D.3.NmC1_PP_001M947
PP_001MA9W	A.D.3.NmC1	A.3.1.1 + A.D.3.NmC2	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_3_A.D.3.NmC1_PP_001MA9W
PP_001N1JJ	A.D.3.NmC1	A.D.3.NmC1 + A.3.1.NmC1	1BP	results/recombinhunt_output/rsv-a/dist5size50/structured_reports/case_3_A.D.3.NmC1_PP_001N1JJ
