genomeIDs	original_lineage	recombinant_parents	breakpoint_count	case_report_folder
PP_0023WJT	B.D	B.D.E.3 + B.D	1BP	results/recombinhunt_output/rsv-b/dist5size50/structured_reports/case_1_B.D_PP_0023WJT
PP_0023WKR	B.D	B.D.E.3 + B.D	1BP	results/recombinhunt_output/rsv-b/dist5size50/structured_reports/case_1_B.D_PP_0023WKR
PP_0022LH7	B.D	B.D + B.D.4.1	1BP	results/recombinhunt_output/rsv-b/dist5size50/structured_reports/case_1_B.D_PP_0022LH7
PP_0022LMZ	B.D	B.D + B.D.4.1	1BP	results/recombinhunt_output/rsv-b/dist5size50/structured_reports/case_1_B.D_PP_0022LMZ
PP_0022LGA	B.D	B.D + B.D.4.1	1BP	results/recombinhunt_output/rsv-b/dist5size50/structured_reports/case_1_B.D_PP_0022LGA
PP_0022FRW	B.D	B.D.E.3 + B.D	1BP	results/recombinhunt_output/rsv-b/dist5size50/structured_reports/case_1_B.D_PP_0022FRW
PP_0023T1X	B.D	B.D + B.D.4.NmC1	1BP	results/recombinhunt_output/rsv-b/dist5size50/structured_reports/case_1_B.D_PP_0023T1X
PP_0023T9F	B.D	B.D + B.D.4.NmC1	1BP	results/recombinhunt_output/rsv-b/dist5size50/structured_reports/case_1_B.D_PP_0023T9F
PP_0023TAD	B.D	B.D + B.D.4.NmC1	1BP	results/recombinhunt_output/rsv-b/dist5size50/structured_reports/case_1_B.D_PP_0023TAD
PP_0023TBB	B.D	B.D + B.D.4.NmC1	1BP	results/recombinhunt_output/rsv-b/dist5size50/structured_reports/case_1_B.D_PP_0023TBB
PP_0023TPL	B.D	B.D + B.D.4.NmC1	1BP	results/recombinhunt_output/rsv-b/dist5size50/structured_reports/case_1_B.D_PP_0023TPL
PP_0023TRG	B.D	B.D + B.D.4.NmC1	1BP	results/recombinhunt_output/rsv-b/dist5size50/structured_reports/case_1_B.D_PP_0023TRG
PP_0023TW6	B.D	B.D + B.D.4.NmC1	1BP	results/recombinhunt_output/rsv-b/dist5size50/structured_reports/case_1_B.D_PP_0023TW6
PP_0023TZ0	B.D	B.D + B.D.4.NmC1	1BP	results/recombinhunt_output/rsv-b/dist5size50/structured_reports/case_1_B.D_PP_0023TZ0
